[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.404s][info][metaspace] Reserving compressed class space anywhere
[0.409s][info][gc,metaspace] CDS archive(s) not mapped
[0.409s][info][gc,metaspace] Compressed class space mapped at: 0x0000000037000000-0x00000000f7000000, reserved size: 3221225472
[0.409s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, narrow klass pointer bits 22, max shift 10
[0.409s][info][gc,metaspace] Narrow klass base: 0x0000000037000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...[1.429s][info][gc,metaspace] GC(0) Metaspace: 21739K(22016K)->21739K(22016K) NonClass: 18026K(18176K)->18026K(18176K) Class: 3712K(3840K)->3712K(3840K)
[12.735s][info][gc,metaspace] GC(24) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[12.735s][info][gc          ] GC(24) Pause Full (System.gc()) 775M->775M(6144M) 334.218ms
[13.065s][info][gc,metaspace] GC(25) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[13.065s][info][gc          ] GC(25) Pause Full (System.gc()) 775M->775M(6144M) 329.770ms
[13.407s][info][gc,metaspace] GC(26) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[13.407s][info][gc          ] GC(26) Pause Full (System.gc()) 775M->775M(6144M) 341.674ms
[13.741s][info][gc,metaspace] GC(27) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[13.741s][info][gc          ] GC(27) Pause Full (System.gc()) 775M->775M(6144M) 334.663ms
[14.066s][info][gc,metaspace] GC(28) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[14.066s][info][gc          ] GC(28) Pause Full (System.gc()) 775M->775M(6144M) 324.835ms
[14.430s][info][gc,metaspace] GC(29) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[14.430s][info][gc          ] GC(29) Pause Full (System.gc()) 775M->775M(6144M) 363.803ms
[14.755s][info][gc,metaspace] GC(30) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[14.756s][info][gc          ] GC(30) Pause Full (System.gc()) 775M->775M(6144M) 325.233ms
