[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using Parallel
[0.377s][info][metaspace] Reserving compressed class space anywhere
[0.377s][info][gc,metaspace] CDS archive(s) not mapped
[0.377s][info][gc,metaspace] Compressed class space mapped at: 0x0000000007000000-0x00000000c7000000, reserved size: 3221225472
[0.377s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, UseKlassTable 0, narrow klass pointer bits 26, max shift 6
[0.377s][info][gc,metaspace] Narrow klass base: 0x0000000007000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...
Loading 256...[1.985s][info][gc,metaspace] GC(0) Metaspace: 23063K(23488K)->23063K(23488K) NonClass: 20457K(20672K)->20457K(20672K) Class: 2606K(2816K)->2606K(2816K)
[23.860s][info][gc,metaspace] GC(48) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[23.860s][info][gc          ] GC(48) Pause Young (System.gc()) 771M->771M(5888M) 0.469ms
[24.657s][info][gc,metaspace] GC(49) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[24.657s][info][gc          ] GC(49) Pause Full (System.gc()) 771M->771M(5888M) 797.039ms
[24.658s][info][gc,metaspace] GC(50) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[24.658s][info][gc          ] GC(50) Pause Young (System.gc()) 771M->771M(5888M) 0.501ms
[25.272s][info][gc,metaspace] GC(51) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[25.272s][info][gc          ] GC(51) Pause Full (System.gc()) 771M->771M(5888M) 614.787ms
[25.273s][info][gc,metaspace] GC(52) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[25.273s][info][gc          ] GC(52) Pause Young (System.gc()) 771M->771M(5888M) 0.743ms
[25.917s][info][gc,metaspace] GC(53) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[25.917s][info][gc          ] GC(53) Pause Full (System.gc()) 771M->771M(5888M) 643.805ms
[25.918s][info][gc,metaspace] GC(54) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[25.918s][info][gc          ] GC(54) Pause Young (System.gc()) 771M->771M(5888M) 0.523ms
[26.535s][info][gc,metaspace] GC(55) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[26.535s][info][gc          ] GC(55) Pause Full (System.gc()) 771M->771M(5888M) 616.942ms
[26.536s][info][gc,metaspace] GC(56) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[26.536s][info][gc          ] GC(56) Pause Young (System.gc()) 771M->771M(5888M) 0.803ms
[27.155s][info][gc,metaspace] GC(57) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[27.155s][info][gc          ] GC(57) Pause Full (System.gc()) 771M->771M(5888M) 619.541ms
[27.156s][info][gc,metaspace] GC(58) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[27.156s][info][gc          ] GC(58) Pause Young (System.gc()) 771M->771M(5888M) 0.793ms
[27.797s][info][gc,metaspace] GC(59) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[27.797s][info][gc          ] GC(59) Pause Full (System.gc()) 771M->771M(5888M) 640.947ms
