[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.435s][info][metaspace] Reserving compressed class space anywhere
[0.440s][info][gc,metaspace] CDS archive(s) not mapped
[0.440s][info][gc,metaspace] Compressed class space mapped at: 0x000000003c000000-0x00000000fc000000, reserved size: 3221225472
[0.440s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, narrow klass pointer bits 22, max shift 10
[0.440s][info][gc,metaspace] Narrow klass base: 0x000000003c000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...[1.423s][info][gc,metaspace] GC(0) Metaspace: 21726K(22016K)->21726K(22016K) NonClass: 18008K(18176K)->18008K(18176K) Class: 3717K(3840K)->3717K(3840K)
[13.125s][info][gc,metaspace] GC(24) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[13.125s][info][gc          ] GC(24) Pause Full (System.gc()) 775M->775M(6144M) 348.579ms
[13.517s][info][gc,metaspace] GC(25) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[13.517s][info][gc          ] GC(25) Pause Full (System.gc()) 775M->775M(6144M) 391.900ms
[13.874s][info][gc,metaspace] GC(26) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[13.874s][info][gc          ] GC(26) Pause Full (System.gc()) 775M->775M(6144M) 357.159ms
[14.229s][info][gc,metaspace] GC(27) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[14.229s][info][gc          ] GC(27) Pause Full (System.gc()) 775M->775M(6144M) 354.779ms
[14.560s][info][gc,metaspace] GC(28) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[14.560s][info][gc          ] GC(28) Pause Full (System.gc()) 775M->775M(6144M) 331.129ms
[14.905s][info][gc,metaspace] GC(29) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[14.905s][info][gc          ] GC(29) Pause Full (System.gc()) 775M->775M(6144M) 344.918ms
[15.293s][info][gc,metaspace] GC(30) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[15.293s][info][gc          ] GC(30) Pause Full (System.gc()) 775M->775M(6144M) 388.097ms
[15.651s][info][gc,metaspace] GC(31) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[15.651s][info][gc          ] GC(31) Pause Full (System.gc()) 775M->775M(6144M) 357.946ms
[15.975s][info][gc,metaspace] GC(32) Metaspace: 23700K(24256K)->23700K(24256K) NonClass: 19591K(19904K)->19591K(19904K) Class: 4109K(4352K)->4109K(4352K)
[15.975s][info][gc          ] GC(32) Pause Full (System.gc()) 775M->775M(6144M) 323.915ms
